date,series_id,value,industry,quarter,index
2023-09-20,A3538828F,47214,"Transport, postal and warehousing",2023-07-01,116.1790398385787
2023-09-20,A3538831V,23868,Information media and telecommunications,2023-07-01,131.18610530944267
2023-09-20,A3538834A,17628,Financial and insurance services,2023-07-01,112.4019639099662
2023-09-20,A3538837J,31655,"Rental, hiring and real estate services",2023-07-01,110.10817767574524
2023-09-20,A3538840W,67562,"Professional, scientific and technical services",2023-07-01,114.15585293322519
2023-09-20,A3538846K,10923,Arts and recreation services,2023-07-01,105.63829787234043
2023-09-20,A3538849T,18624,Other services,2023-07-01,111.26112671007826
2023-12-20,A3538807V,115061,Mining,2023-10-01,101.27539344435446
2023-12-20,A3538810J,112489,Manufacturing,2023-10-01,100.19952790273015
2023-12-20,A3538813R,27945,"Electricity, gas, water and waste services",2023-10-01,115.44658349169627
2023-12-20,A3538816W,111541,Construction,2023-10-01,97.44295348918475
2023-12-20,A3538819C,173251,Wholesale trade,2023-10-01,104.82589623355014
2023-12-20,A3538822T,139439,Retail trade,2023-10-01,107.80476867887185
2023-12-20,A3538825X,34374,Accommodation and food services,2023-10-01,110.08839354342813
2023-12-20,A3538828F,46225,"Transport, postal and warehousing",2023-10-01,113.7454169640001
2023-12-20,A3538831V,23855,Information media and telecommunications,2023-10-01,131.11465318236782
2023-12-20,A3538834A,18155,Financial and insurance services,2023-10-01,115.76229037811643
2023-12-20,A3538837J,31646,"Rental, hiring and real estate services",2023-10-01,110.0768722390344
2023-12-20,A3538840W,68356,"Professional, scientific and technical services",2023-10-01,115.49743173830765
2023-12-20,A3538846K,10920,Arts and recreation services,2023-10-01,105.60928433268859
2023-12-20,A3538849T,18758,Other services,2023-10-01,112.06165242846048
2024-03-20,A3538807V,116235,Mining,2024-01-01,102.30873499278245
2024-03-20,A3538810J,110886,Manufacturing,2024-01-01,98.77165634881753
2024-03-20,A3538813R,28276,"Electricity, gas, water and waste services",2024-01-01,116.81401305461456
2024-03-20,A3538816W,109441,Construction,2024-01-01,95.608379634483
2024-03-20,A3538819C,169528,Wholesale trade,2024-01-01,102.57328694599909
2024-03-20,A3538822T,140063,Retail trade,2024-01-01,108.28720311726867
2024-03-20,A3538825X,33954,Accommodation and food services,2024-01-01,108.74327440430439
2024-03-20,A3538828F,46742,"Transport, postal and warehousing",2024-01-01,115.01759393685869
2024-03-20,A3538831V,23594,Information media and telecommunications,2024-01-01,129.68011432340333
2024-03-20,A3538834A,17669,Financial and insurance services,2024-01-01,112.66339348338965
2024-03-20,A3538837J,31907,"Rental, hiring and real estate services",2024-01-01,110.98472990364883
2024-03-20,A3538840W,68273,"Professional, scientific and technical services",2024-01-01,115.35719113273858
2024-03-20,A3538846K,11318,Arts and recreation services,2024-01-01,109.45841392649903
